date,open,high,low,close,adjclose,volume,ticker
2011-01-03,156375008.0,156375008.0,149150000.0,151250000.0,151250000.0,0.0,TVIX
2011-01-04,151624992.0,160924992.0,149975008.0,149975008.0,149975008.0,0.0,TVIX
2011-01-05,156100000.0,156224992.0,144950000.0,146550000.0,146550000.0,0.0,TVIX
2011-01-06,145324992.0,150000000.0,143775008.0,147350000.0,147350000.0,0.0,TVIX
2011-01-07,145000000.0,155950000.0,140450000.0,148075008.0,148075008.0,0.0,TVIX
2011-01-10,152500000.0,157500000.0,146024992.0,147375008.0,147375008.0,0.0,TVIX
2011-01-11,142975008.0,145200000.0,138524992.0,138524992.0,138524992.0,0.0,TVIX
2011-01-12,135000000.0,135000000.0,126000000.0,126925000.0,126925000.0,0.0,TVIX
2011-01-13,126050000.0,129000000.0,123750000.0,124450000.0,124450000.0,0.0,TVIX
2011-01-14,124625000.0,124625000.0,110950000.0,113250000.0,113250000.0,0.0,TVIX
2011-01-18,113125000.0,113250000.0,105225000.0,105700000.0,105700000.0,0.0,TVIX
2011-01-19,107475000.0,121500000.0,107050000.0,117125000.0,117125000.0,0.0,TVIX
2011-01-20,118975000.0,124000000.0,114500000.0,115575000.0,115575000.0,0.0,TVIX
2011-01-21,108575000.0,118500000.0,108375000.0,118125000.0,118125000.0,0.0,TVIX
2011-01-24,118000000.0,119950000.0,111075000.0,112775000.0,112775000.0,0.0,TVIX
2011-01-25,114050000.0,118425000.0,109825000.0,110000000.0,110000000.0,0.0,TVIX
2011-01-26,107525000.0,109275000.0,102100000.0,103350000.0,103350000.0,0.0,TVIX
2011-01-27,102700000.0,104900000.0,98750000.0,99000000.0,99000000.0,0.0,TVIX
2011-01-28,98550000.0,118325000.0,95800000.0,115275000.0,115275000.0,0.0,TVIX
2011-01-31,112000000.0,116400000.0,111175000.0,114100000.0,114100000.0,0.0,TVIX
2011-02-01,108350000.0,109125000.0,101250000.0,103625000.0,103625000.0,0.0,TVIX
2011-02-02,106000000.0,106000000.0,100000000.0,103025000.0,103025000.0,0.0,TVIX
2011-02-03,103625000.0,108625000.0,99500000.0,100000000.0,100000000.0,0.0,TVIX
2011-02-04,99475000.0,101375000.0,94750000.0,95325000.0,95325000.0,0.0,TVIX
2011-02-07,93150000.0,93150000.0,90000000.0,92350000.0,92350000.0,0.0,TVIX
2011-02-08,92525000.0,95175000.0,88900000.0,89875000.0,89875000.0,0.0,TVIX
2011-02-09,91750000.0,94350000.0,89625000.0,90650000.0,90650000.0,0.0,TVIX
2011-02-10,94725000.0,95050000.0,89575000.0,90400000.0,90400000.0,0.0,TVIX
2011-02-11,92075000.0,92250000.0,86875000.0,87250000.0,87250000.0,0.0,TVIX
2011-02-14,87050000.0,88350000.0,85525000.0,85725000.0,85725000.0,0.0,TVIX
2011-02-15,87100000.0,88350000.0,86125000.0,87900000.0,87900000.0,0.0,TVIX
2011-02-16,85500000.0,90150000.0,83900000.0,89750000.0,89750000.0,0.0,TVIX
2011-02-17,91000000.0,93300000.0,90600000.0,92125000.0,92125000.0,0.0,TVIX
2011-02-18,91275000.0,95825000.0,91250000.0,93800000.0,93800000.0,0.0,TVIX
2011-02-22,104950000.0,118350000.0,100675000.0,116650000.0,116650000.0,0.0,TVIX
2011-02-23,117050000.0,135000000.0,114450000.0,126900000.0,126900000.0,0.0,TVIX
2011-02-24,127400000.0,134150000.0,121875000.0,124450000.0,124450000.0,0.0,TVIX
2011-02-25,116850000.0,125700000.0,108000000.0,108500000.0,108500000.0,0.0,TVIX
2011-02-28,103100000.0,103675000.0,97950000.0,99325000.0,99325000.0,0.0,TVIX
2011-03-01,96850000.0,114075000.0,96700000.0,113925000.0,113925000.0,0.0,TVIX
2011-03-02,114025000.0,117025000.0,106875000.0,114125000.0,114125000.0,0.0,TVIX
2011-03-03,104075000.0,106550000.0,101875000.0,102675000.0,102675000.0,0.0,TVIX
2011-03-04,102075000.0,112200000.0,100825000.0,107400000.0,107400000.0,0.0,TVIX
2011-03-07,106475000.0,120400000.0,102900000.0,113500000.0,113500000.0,0.0,TVIX
2011-03-08,113025000.0,119075000.0,107175000.0,108550000.0,108550000.0,0.0,TVIX
2011-03-09,110625000.0,117750000.0,109850000.0,111575000.0,111575000.0,0.0,TVIX
2011-03-10,120250000.0,124900000.0,117350000.0,123275000.0,123275000.0,0.0,TVIX
2011-03-11,127000000.0,128100000.0,115000000.0,116425000.0,116425000.0,0.0,TVIX
2011-03-14,123750000.0,125675000.0,118025000.0,118650000.0,118650000.0,0.0,TVIX
2011-03-15,144850000.0,145000000.0,124800000.0,129050000.0,129050000.0,0.0,TVIX
2011-03-16,129625000.0,161800000.0,129300000.0,150475008.0,150475008.0,0.0,TVIX
2011-03-17,134175000.0,143975008.0,132800000.0,141475008.0,141475008.0,0.0,TVIX
2011-03-18,129325000.0,136850000.0,128100000.0,132475000.0,132475000.0,0.0,TVIX
2011-03-21,121500000.0,122525000.0,111875000.0,112475000.0,112475000.0,0.0,TVIX
2011-03-22,109850000.0,113725000.0,108725000.0,111375000.0,111375000.0,0.0,TVIX
2011-03-23,113150000.0,116850000.0,101925000.0,102800000.0,102800000.0,0.0,TVIX
2011-03-24,96425000.0,100800000.0,95250000.0,97225000.0,97225000.0,0.0,TVIX
2011-03-25,94600000.0,97650000.0,92025000.0,97225000.0,97225000.0,0.0,TVIX
2011-03-28,95625000.0,99700000.0,93350000.0,99225000.0,99225000.0,0.0,TVIX
2011-03-29,98675000.0,102300000.0,94500000.0,94500000.0,94500000.0,0.0,TVIX
2011-03-30,92125000.0,93300000.0,89925000.0,91250000.0,91250000.0,0.0,TVIX
2011-03-31,92650000.0,93475000.0,90075000.0,90725000.0,90725000.0,0.0,TVIX
2011-04-01,86800000.0,90900000.0,85000000.0,89075000.0,89075000.0,0.0,TVIX
2011-04-04,87350000.0,89800000.0,86175000.0,87375000.0,87375000.0,0.0,TVIX
2011-04-05,88450000.0,88625000.0,83425000.0,84125000.0,84125000.0,0.0,TVIX
2011-04-06,82175000.0,86350000.0,81500000.0,83450000.0,83450000.0,0.0,TVIX
2011-04-07,83875000.0,88375000.0,82725000.0,84700000.0,84700000.0,0.0,TVIX
2011-04-08,82675000.0,89975000.0,81625000.0,87575000.0,87575000.0,0.0,TVIX
2011-04-11,86275000.0,88575000.0,84050000.0,86000000.0,86000000.0,0.0,TVIX
2011-04-12,89625000.0,91175000.0,86100000.0,87350000.0,87350000.0,0.0,TVIX
2011-04-13,85150000.0,88625000.0,84300000.0,84600000.0,84600000.0,0.0,TVIX
2011-04-14,88025000.0,89025000.0,82375000.0,83150000.0,83150000.0,0.0,TVIX
2011-04-15,82100000.0,84000000.0,78525000.0,79250000.0,79250000.0,0.0,TVIX
2011-04-18,86025000.0,89750000.0,82075000.0,82850000.0,82850000.0,0.0,TVIX
2011-04-19,80825000.0,81250000.0,74375000.0,74675000.0,74675000.0,0.0,TVIX
2011-04-20,68775000.0,69675000.0,67350000.0,68450000.0,68450000.0,0.0,TVIX
